Date,Product,Sales,Stock
2023-01-01,Product_1,19,191
2023-01-01,Product_2,15,154
2023-01-01,Product_3,18,136
2023-01-01,Product_4,20,116
2023-01-01,Product_5,12,133
2023-01-01,Product_6,19,177
2023-01-01,Product_7,13,192
2023-01-01,Product_8,22,147
2023-01-01,Product_9,26,108
2023-01-01,Product_10,20,140
2023-01-01,Product_11,29,116
2023-01-01,Product_12,30,158
2023-01-01,Product_13,19,177
2023-01-01,Product_14,20,144
2023-01-01,Product_15,22,184
2023-01-01,Product_16,26,103
2023-01-01,Product_17,19,193
2023-01-01,Product_18,17,118
2023-01-01,Product_19,18,197
2023-01-01,Product_20,14,100
2023-01-02,Product_1,17,160
2023-01-02,Product_2,29,109
2023-01-02,Product_3,17,116
2023-01-02,Product_4,21,132
2023-01-02,Product_5,16,145
2023-01-02,Product_6,13,187
2023-01-02,Product_7,22,137
2023-01-02,Product_8,20,153
2023-01-02,Product_9,20,136
2023-01-02,Product_10,23,146
2023-01-02,Product_11,15,190
2023-01-02,Product_12,12,142
2023-01-02,Product_13,19,104
2023-01-02,Product_14,32,165
2023-01-02,Product_15,21,133
2023-01-02,Product_16,16,173
2023-01-02,Product_17,18,131
2023-01-02,Product_18,22,139
2023-01-02,Product_19,9,120
2023-01-02,Product_20,19,106
2023-01-03,Product_1,13,145
2023-01-03,Product_2,11,194
2023-01-03,Product_3,25,160
2023-01-03,Product_4,21,163
2023-01-03,Product_5,16,138
2023-01-03,Product_6,19,108
2023-01-03,Product_7,12,175
2023-01-03,Product_8,18,188
2023-01-03,Product_9,27,182
2023-01-03,Product_10,18,114
2023-01-03,Product_11,18,141
2023-01-03,Product_12,29,128
2023-01-03,Product_13,21,186
2023-01-03,Product_14,20,169
2023-01-03,Product_15,19,109
2023-01-03,Product_16,22,106
2023-01-03,Product_17,16,111
2023-01-03,Product_18,14,147
2023-01-03,Product_19,15,190
2023-01-03,Product_20,21,184
2023-01-04,Product_1,18,141
2023-01-04,Product_2,16,176
2023-01-04,Product_3,18,150
2023-01-04,Product_4,19,197
2023-01-04,Product_5,20,105
2023-01-04,Product_6,22,158
2023-01-04,Product_7,12,188
2023-01-04,Product_8,17,135
2023-01-04,Product_9,18,146
2023-01-04,Product_10,13,106
2023-01-04,Product_11,28,139
2023-01-04,Product_12,20,110
2023-01-04,Product_13,24,155
2023-01-04,Product_14,21,186
2023-01-04,Product_15,17,109
2023-01-04,Product_16,19,152
2023-01-04,Product_17,15,184
